"","country","equipment_type","destroyed","abandoned","captured","damaged","type_total","row_id","Date"
"1","Israel","Tanks",4,0,0,1,5,1,"2023-10-24"
"2","Israel","Armored Personnel Carriers",2,0,50,1,53,2,"2023-10-24"
"3","Israel",", 3, 4, 5, 6, 7 and 8, captured)",0,0,0,0,0,3,"2023-10-24"
"4","Israel","Infantry Mobility Vehicles",3,0,21,2,26,4,"2023-10-24"
"5","Israel","Command Posts And Communications Stations",0,0,1,0,1,5,"2023-10-24"
"6","Israel","Engineering Vehicles And Equipment",3,0,7,0,10,6,"2023-10-24"
"7","Israel"," ",0,0,0,0,0,7,"2023-10-24"
"8","Israel","Helicopters",1,0,0,0,1,8,"2023-10-24"
"9","Israel","Trucks, Vehicles, and Jeeps",9,0,11,3,23,9,"2023-10-24"
"10","Israel","All Types",22,0,90,7,119,45,"2023-10-24"
"11","Hamas","Trucks, Vehicles, and Jeeps",18,4,13,1,36,1,"2023-10-24"
"12","Hamas","Naval Ships",10,0,0,0,10,2,"2023-10-24"
"13","Hamas","All Types",28,4,13,1,46,3,"2023-10-24"
