"","country","equipment_type","destroyed","abandoned","captured","damaged","type_total","row_id","Date"
"1","Israel","Tanks",4,0,0,1,5,1,"2023-10-13"
"2","Israel","Armored Personnel Carriers",2,0,52,1,55,2,"2023-10-13"
"3","Israel",", 3, 4, 5, 6, 7 and 8, captured)",0,0,0,0,0,3,"2023-10-13"
"4","Israel","Infantry Mobility Vehicles",3,0,21,2,26,4,"2023-10-13"
"5","Israel","Command Posts And Communications Stations",0,0,1,0,1,5,"2023-10-13"
"6","Israel","Engineering Vehicles And Equipment",3,0,7,0,10,6,"2023-10-13"
"7","Israel"," ",0,0,0,0,0,7,"2023-10-13"
"8","Israel","Trucks, Vehicles, and Jeeps",10,0,10,3,23,8,"2023-10-13"
"9","Israel","All Types",22,0,91,7,120,36,"2023-10-13"
"10","Hamas","Trucks, Vehicles, and Jeeps",17,5,9,1,32,1,"2023-10-13"
"11","Hamas","Naval Ships",9,0,0,0,9,2,"2023-10-13"
"12","Hamas","All Types",26,5,9,1,41,3,"2023-10-13"
